Unique_Name,Transaction_Amount,Country_Amount_Interaction,Velocity_Risk,Transaction_Amount_Squared,Num_Transactions_24h,Risk_Velocity,Is_Suspicious,Country_Amount_Interaction_Squared,Velocity_Risk_Squared,Transaction_Amount_x_Country_Amount_Interaction
IMP_Record_00088,637593.72,51.01,22.32,406525751783.43835,35,10.13,1,2602.0200999999997,498.18240000000003,32523655.657199997
IMP_Record_00089,887224.02,62.11,30.17,787166461664.9604,34,16.31,1,3857.6521,910.2289000000001,55105483.8822
IMP_Record_00090,472267.7,18.89,10.86,223036780463.29,23,22.38,1,356.8321,117.93959999999998,8921136.853
IMP_Record_00091,119682.29,4.79,3.59,14323850539.644098,30,0.15,1,22.9441,12.8881,573278.1690999999
IMP_Record_00092,713273.46,14.27,5.71,508759028740.3715,8,3.3,1,203.63289999999998,32.6041,10178412.2742
IMP_Record_00093,760808.97,7.61,16.74,578830288832.4608,22,2.21,1,57.9121,280.22759999999994,5789756.2617
IMP_Record_00094,561321.07,50.52,24.7,315081343625.9448,44,22.4,1,2552.2704000000003,610.0899999999999,28357940.4564
IMP_Record_00095,770990.08,15.42,27.76,594425703458.4064,36,0.89,1,237.7764,770.6176,11888667.033599999
IMP_Record_00096,493846.22,39.51,2.47,243884089008.28836,5,2.03,1,1561.0401,6.100900000000001,19511864.1522
IMP_Record_00097,522780.56,47.05,6.8,273299513913.9136,13,2.87,1,2213.7025,46.239999999999995,24596825.347999997
IMP_Record_00098,427598.26,17.1,12.4,182840271955.02762,29,15.47,1,292.41,153.76000000000002,7311930.246000001
IMP_Record_00099,25516.58,2.04,0.79,651095854.8964001,31,30.88,1,4.1616,0.6241000000000001,52053.823200000006
IMP_Record_00100,107980.64,9.72,5.08,11659818614.809599,47,37.63,1,94.47840000000001,25.8064,1049571.8208
IMP_Record_00101,31526.04,1.58,0.5,993891198.0816001,16,13.53,1,2.4964000000000004,0.25,49811.143200000006
IMP_Record_00102,636446.77,44.55,26.73,405064491043.4329,42,26.68,1,1984.7024999999996,714.4929000000001,28353703.603499997
IMP_Record_00103,314424.55,12.58,9.43,98862797642.7025,30,1.25,1,158.2564,88.9249,3955460.8389999997
IMP_Record_00104,508619.83,5.09,8.14,258694131469.2289,16,3.31,1,25.908099999999997,66.2596,2588874.9347
IMP_Record_00105,907575.72,27.23,10.89,823693687533.5183,12,11.1,1,741.4729,118.59210000000002,24713286.8556
IMP_Record_00106,249367.3,12.47,4.24,62184050309.28999,17,6.22,1,155.50090000000003,17.977600000000002,3109610.231
IMP_Record_00107,410441.88,12.31,6.57,168462536857.93442,16,1.66,1,151.5361,43.1649,5052539.5428
IMP_Record_00108,755575.58,52.89,9.07,570894457092.3363,12,8.43,1,2797.3521,82.26490000000001,39962392.426199995
IMP_Record_00109,228875.29,20.6,1.83,52383898372.58411,8,2.4,1,424.36000000000007,3.3489000000000004,4714830.974
IMP_Record_00110,77072.21,4.62,1.54,5940125554.284101,20,5.38,1,21.3444,2.3716,356073.61020000005
IMP_Record_00111,289822.48,2.9,0.87,83997069913.35039,3,2.99,1,8.41,0.7569,840485.1919999999
IMP_Record_00112,161305.17,11.29,2.58,26019357868.728905,16,13.73,1,127.46409999999999,6.6564000000000005,1821135.3693
IMP_Record_00113,929704.68,27.89,27.89,864350792013.9025,30,12.24,1,777.8521000000001,777.8521000000001,25929463.525200002
IMP_Record_00114,808139.57,40.41,36.37,653089564599.7848,45,44.11,1,1632.9680999999998,1322.7768999999998,32656920.023699995
IMP_Record_00115,633440.42,25.34,14.57,401246765689.7764,23,14.95,1,642.1156,212.28490000000002,16051380.242800001
IMP_Record_00116,871473.44,43.57,24.4,759465956625.4335,28,20.78,1,1898.3449,595.3599999999999,37970097.7808
IMP_Record_00117,803691.71,40.18,32.15,645920364722.724,40,1.26,1,1614.4324,1033.6225,32292332.907799996
IMP_Record_00118,186651.4,11.2,0.93,34838745121.96,5,0.61,1,125.43999999999998,0.8649000000000001,2090495.6799999997
IMP_Record_00119,892569.74,53.55,17.85,796680740763.6676,20,12.66,1,2867.6024999999995,318.62250000000006,47797109.577
IMP_Record_00120,539388.31,43.15,21.58,290939748964.6562,40,35.96,1,1861.9225,465.6963999999999,23274605.576500002
IMP_Record_00121,807459.41,64.6,35.53,651990698797.5481,44,27.44,1,4173.159999999999,1262.3809,52161877.886
IMP_Record_00122,896101.69,80.65,0.9,802998238820.856,1,0.13,1,6504.422500000001,0.81,72270601.2985
IMP_Record_00123,318071.67,25.45,9.54,101169587256.58888,30,3.47,1,647.7025,91.01159999999999,8094924.001499999
IMP_Record_00124,110140.92,2.2,2.31,12131022258.4464,21,17.73,1,4.840000000000001,5.3361,242310.024
IMP_Record_00125,228012.37,2.28,4.56,51989640873.0169,20,2.79,1,5.1983999999999995,20.793599999999998,519868.20359999995
IMP_Record_00126,427165.08,8.54,2.56,182470005571.4064,6,3.12,1,72.93159999999999,6.5536,3647989.7832
IMP_Record_00127,818032.96,16.36,18.0,669177923646.3616,22,0.82,1,267.64959999999996,324.0,13383019.225599999
IMP_Record_00128,860744.51,25.82,15.49,740881111495.1401,18,1.45,1,666.6724,239.9401,22224423.2482
IMP_Record_00129,7051.44,0.49,0.06,49722806.073599994,8,5.38,0,0.24009999999999998,0.0036,3455.2056
IMP_Record_00130,510796.23,10.22,19.92,260912788582.2129,39,26.88,1,104.4484,396.80640000000005,5220337.470600001
IMP_Record_00131,417469.26,4.17,13.36,174280583044.9476,32,10.93,1,17.3889,178.4896,1740846.8142
IMP_Record_00132,222185.6,13.33,7.33,49366440847.36,33,7.12,1,177.6889,53.7289,2961734.048
IMP_Record_00133,119953.38,10.8,1.92,14388813373.4244,16,13.02,1,116.64000000000001,3.6864,1295496.5040000002
IMP_Record_00134,337681.41,10.13,4.05,114028734659.58809,12,2.61,1,102.61690000000002,16.4025,3420712.6833
IMP_Record_00135,942915.41,56.57,35.83,889089470415.4681,38,20.6,1,3200.1649,1283.7888999999998,53340724.743700005
IMP_Record_00136,323270.61,9.7,10.99,104503887289.7721,34,32.92,1,94.08999999999999,120.7801,3135724.9169999994
IMP_Record_00137,518838.74,5.19,7.26,269193638124.7876,14,2.07,1,26.936100000000003,52.7076,2692773.0606
IMP_Record_00138,703048.66,35.15,25.31,494277418327.79565,36,33.87,1,1235.5224999999998,640.5961,24712160.399
IMP_Record_00139,363693.24,14.55,12.0,132272772821.69759,33,6.04,1,211.70250000000001,144.0,5291736.642
IMP_Record_00140,971784.9,68.02,22.35,944365891868.01,23,13.05,1,4626.720399999999,499.52250000000004,66100808.897999994
IMP_Record_00141,962451.05,57.75,43.31,926312023646.1025,45,16.97,1,3335.0625,1875.7561000000003,55581548.1375
IMP_Record_00142,251857.12,17.63,0.5,63432008894.6944,2,1.93,1,310.8169,0.25,4440241.025599999
IMP_Record_00143,497298.78,24.86,20.39,247306076589.48843,41,11.22,1,618.0196,415.75210000000004,12362847.6708
IMP_Record_00144,300948.22,12.04,6.32,90569831121.16838,21,8.39,1,144.96159999999998,39.942400000000006,3623416.5687999995
IMP_Record_00145,284912.01,19.94,0.57,81174853442.24011,2,1.97,1,397.60360000000003,0.32489999999999997,5681145.479400001
IMP_Record_00146,36983.26,2.59,1.0,1367761520.2276,27,14.48,1,6.708099999999999,1.0,95786.6434
IMP_Record_00147,609603.38,36.58,5.49,371616280907.4244,9,4.52,1,1338.0964,30.140100000000004,22299291.6404
IMP_Record_00148,502728.76,40.22,0.5,252736206131.1376,1,0.26,1,1617.6483999999998,0.25,20219750.7272
IMP_Record_00149,51573.6,2.06,0.57,2659836216.96,11,7.71,1,4.2436,0.32489999999999997,106241.616
IMP_Record_00150,278718.6,13.94,0.84,77684057985.95999,3,0.04,1,194.3236,0.7055999999999999,3885337.2839999995
IMP_Record_00151,908275.06,36.33,20.89,824963584618.0037,23,1.14,1,1319.8689,436.3921,32997632.9298
IMP_Record_00152,239637.93,2.4,6.23,57426337494.6849,26,15.58,1,5.76,38.812900000000006,575131.032
IMP_Record_00153,144980.38,11.6,0.58,21019310584.9444,4,1.37,1,134.56,0.3364,1681772.408
IMP_Record_00154,489503.82,4.9,8.81,239613989794.5924,18,17.16,1,24.010000000000005,77.6161,2398568.7180000003
IMP_Record_00155,985651.89,49.28,5.91,971509648260.5721,6,5.42,1,2428.5184,34.9281,48572925.1392
IMP_Record_00156,242131.07,14.53,8.47,58627455059.3449,35,24.98,1,211.12089999999998,71.74090000000001,3518164.4471
IMP_Record_00157,672168.33,40.33,14.79,451810263854.98883,22,18.0,1,1626.5088999999998,218.74409999999997,27108548.748899996
IMP_Record_00158,761643.45,38.08,32.75,580100744927.9025,43,28.7,1,1450.0864,1072.5625,29003382.575999998
IMP_Record_00159,237713.78,7.13,3.57,56507841201.8884,15,1.88,1,50.8369,12.7449,1694899.2514
IMP_Record_00160,728243.53,36.41,16.02,530338638986.86096,22,16.84,1,1325.6880999999998,256.6404,26515346.9273
IMP_Record_00161,367846.35,29.43,13.61,135310937208.32248,37,7.78,1,866.1249,185.23209999999997,10825718.0805
IMP_Record_00162,632342.6,12.65,26.56,399857163774.75995,42,13.58,1,160.0225,705.4336,7999133.89
IMP_Record_00163,633566.36,38.01,7.6,401406332523.6496,12,9.83,1,1444.7600999999997,57.76,24081857.343599997
IMP_Record_00164,535821.11,48.22,25.18,287104261921.6321,47,25.22,1,2325.1684,634.0323999999999,25837293.9242
IMP_Record_00165,90380.74,7.23,4.43,8168678162.947601,49,42.14,1,52.27290000000001,19.624899999999997,653452.7502000001
IMP_Record_00166,835318.97,66.83,35.08,697757781641.8608,42,8.95,1,4466.2489,1230.6064,55824366.765099995
IMP_Record_00167,320847.99,25.67,12.19,102943432687.0401,38,23.1,1,658.9489000000001,148.59609999999998,8236167.9033
IMP_Record_00168,186599.86,13.06,3.36,34819507752.01959,18,1.51,1,170.5636,11.289599999999998,2436994.1716
IMP_Record_00169,40871.06,3.27,1.84,1670443545.5235999,45,28.94,1,10.6929,3.3856,133648.3662
IMP_Record_00170,590933.85,35.46,20.68,349202815075.82245,35,26.69,1,1257.4116000000001,427.6624,20954514.321
IMP_Record_00171,677596.61,13.55,20.33,459137165883.49207,30,17.55,1,183.60250000000002,413.30889999999994,9181434.0655
IMP_Record_00172,16686.17,0.33,0.4,278428269.2688999,24,6.39,1,0.10890000000000001,0.16000000000000003,5506.4361
IMP_Record_00173,512141.85,40.97,21.51,262289274521.4225,42,1.32,1,1678.5409,462.6801000000001,20982451.594499998
IMP_Record_00174,226573.13,2.27,6.8,51335383237.9969,30,3.58,1,5.1529,46.239999999999995,514321.0051
IMP_Record_00175,645208.27,38.71,9.03,416293711676.39294,14,8.71,1,1498.4641000000001,81.5409,24976012.1317
IMP_Record_00176,174448.99,10.47,1.05,30432450112.020096,6,5.61,1,109.62090000000002,1.1025,1826480.9253
IMP_Record_00177,690968.64,27.64,2.07,477437661463.44965,3,0.62,1,763.9696,4.2848999999999995,19098373.2096
IMP_Record_00178,386796.67,11.6,6.19,149611663923.0889,16,11.76,1,134.56,38.316100000000006,4486841.3719999995
IMP_Record_00179,936736.32,28.1,6.56,877474933207.1423,7,6.07,1,789.6100000000001,43.03359999999999,26322290.592
IMP_Record_00180,137607.19,1.38,1.93,18935738739.696102,14,7.29,1,1.9043999999999996,3.7249,189897.9222
IMP_Record_00181,341132.24,10.23,3.07,116371205167.41759,9,6.02,1,104.6529,9.4249,3489782.8152
IMP_Record_00182,113562.17,4.54,1.7,12896366455.1089,15,12.23,1,20.6116,2.8899999999999997,515572.25179999997
IMP_Record_00183,924701.15,46.24,19.42,855072216811.3225,21,5.47,1,2138.1376,377.1364000000001,42758181.17600001
IMP_Record_00184,877351.62,26.32,30.71,769745865116.6244,35,10.39,1,692.7424,943.1041,23091894.6384
IMP_Record_00185,258015.83,15.48,0.52,66572168530.58889,2,0.0,1,239.6304,0.27040000000000003,3994085.0483999997
IMP_Record_00186,660018.05,33.0,17.82,435623826325.80255,27,26.0,1,1089.0,317.55240000000003,21780595.650000002
IMP_Record_00187,817240.48,24.52,1.63,667882002150.6304,2,1.84,1,601.2304,2.6569,20038736.5696
IMP_Record_00188,555245.29,33.31,19.43,308297332067.18414,35,26.76,1,1109.5561000000002,377.5249,18495220.6099
IMP_Record_00189,529697.61,31.78,9.53,280579558039.7121,18,1.42,1,1009.9684000000001,90.8209,16833790.0458
IMP_Record_00190,241928.11,19.35,3.39,58529210408.1721,14,6.27,1,374.42250000000007,11.4921,4681308.9285
IMP_Record_00191,93193.46,1.86,1.86,8685020986.7716,20,2.04,1,3.4596000000000005,3.4596000000000005,173339.83560000002
IMP_Record_00192,897226.04,8.97,16.15,805014566854.0817,18,0.29,1,80.46090000000001,260.82249999999993,8048117.578800001
IMP_Record_00193,900428.02,36.02,9.0,810770619201.1205,10,6.16,1,1297.4404000000002,81.0,32433417.280400004
IMP_Record_00194,633138.15,44.32,15.83,400863916985.42255,25,24.02,1,1964.2624,250.5889,28060682.808000002
IMP_Record_00195,339095.89,10.17,0.68,114986022614.8921,2,1.81,1,103.4289,0.4624000000000001,3448605.2013000003
IMP_Record_00196,349274.65,10.48,8.73,121992781132.62251,25,17.42,1,109.83040000000001,76.2129,3660398.3320000004
IMP_Record_00197,725983.08,36.3,23.96,527051432446.2863,33,3.19,1,1317.6899999999998,574.0816000000001,26353185.803999998
IMP_Record_00198,897120.55,44.86,32.3,804825281232.3026,36,9.87,1,2012.4196,1043.2899999999997,40244827.873
IMP_Record_00199,887097.72,26.61,27.5,786942364829.1984,31,9.92,1,708.0921,756.25,23605670.3292
IMP_Record_00200,779897.56,70.19,10.92,608240204093.9537,14,10.68,1,4926.6361,119.2464,54741009.7364
IMP_Record_00201,642067.44,25.68,0.64,412250597508.1535,1,0.8,1,659.4624,0.4096,16488291.859199999
IMP_Record_00202,84231.55,2.53,3.87,7094954015.4025,46,17.71,1,6.400899999999999,14.9769,213105.8215
IMP_Record_00203,161712.55,3.23,2.59,26150948827.502495,16,6.69,1,10.4329,6.708099999999999,522331.5365
IMP_Record_00204,898564.33,80.87,41.33,807417855148.3489,46,2.05,1,6539.956900000001,1708.1689,72666897.3671
IMP_Record_00205,606468.42,24.26,1.82,367803944457.29645,3,0.87,1,588.5476000000001,3.3124000000000002,14712923.869200002
IMP_Record_00206,9296.13,0.28,0.33,86418032.97689998,35,15.79,1,0.07840000000000001,0.10890000000000001,2602.9164
IMP_Record_00207,101561.4,7.11,4.16,10314717969.96,41,4.8,1,50.5521,17.305600000000002,722101.554
IMP_Record_00208,663535.42,53.08,3.98,440279253594.5765,6,2.72,1,2817.4864,15.8404,35220460.0936
IMP_Record_00209,5161.08,0.1,0.13,26636746.7664,25,21.33,1,0.010000000000000002,0.016900000000000002,516.1080000000001
IMP_Record_00210,160891.97,11.26,2.09,25886226010.4809,13,7.56,1,126.7876,4.368099999999999,1811643.5822
IMP_Record_00211,548778.92,27.44,18.66,301158303036.36646,34,2.68,1,752.9536,348.1956,15058493.564800002
IMP_Record_00212,691926.01,34.6,5.54,478761603314.52014,8,1.53,1,1197.16,30.6916,23940639.946000002
IMP_Record_00213,651996.06,19.56,13.69,425098862255.5237,21,9.97,1,382.5935999999999,187.4161,12753042.933600001
IMP_Record_00214,224346.88,11.22,7.63,50331522565.734406,34,12.29,1,125.88840000000002,58.216899999999995,2517171.9936
IMP_Record_00215,712208.0,14.24,2.85,507240235264.0,4,1.43,1,202.7776,8.1225,10141841.92
IMP_Record_00216,237325.36,9.49,5.93,56323326499.12959,25,13.23,1,90.0601,35.164899999999996,2252217.6664
IMP_Record_00217,325467.16,19.53,4.88,105928872238.46558,15,8.77,1,381.4209,23.8144,6356373.6348
IMP_Record_00218,746516.76,7.47,2.99,557287272960.8976,4,3.19,1,55.8009,8.940100000000001,5576480.1972
IMP_Record_00219,649667.94,25.99,29.24,422068432263.8435,45,15.34,1,675.4800999999999,854.9775999999999,16884869.760599997
IMP_Record_00220,849238.49,50.95,10.19,721206012897.4801,12,9.67,1,2595.9025,103.83609999999999,43268701.0655
IMP_Record_00221,657647.13,59.19,21.04,432499747597.2369,32,10.84,1,3503.4561,442.68159999999995,38926133.6247
IMP_Record_00222,568351.77,11.37,18.19,323023734462.13293,32,1.77,1,129.27689999999998,330.87610000000006,6462159.6249
IMP_Record_00223,93765.4,6.56,2.63,8791950237.16,28,15.52,1,43.03359999999999,6.916899999999999,615101.024
IMP_Record_00224,367779.03,22.07,4.78,135261414907.74092,13,7.64,1,487.0849,22.8484,8116883.192100001
IMP_Record_00225,265275.85,5.31,8.22,70371276593.22249,31,28.97,1,28.196099999999994,67.56840000000001,1408614.7635
IMP_Record_00226,244065.24,19.53,3.42,59567841376.2576,14,10.16,1,381.4209,11.696399999999999,4766594.1372
IMP_Record_00227,973013.25,68.11,19.46,946754784675.5625,20,18.36,1,4638.9721,378.69160000000005,66271932.457499996
IMP_Record_00228,393158.41,19.66,7.08,154573535353.7281,18,16.35,1,386.5156,50.126400000000004,7729494.3406
IMP_Record_00229,892057.35,44.6,25.87,795766315689.0225,29,17.53,1,1989.16,669.2569000000001,39785757.81
IMP_Record_00230,631175.51,44.18,3.79,398382524423.76013,6,3.17,1,1951.8724,14.3641,27885334.0318
