Unique_Name,Country,Country_Risk_Score,Transaction_Amount,Transaction_Volume_30D,Transaction_Trend_30D,Previous_Banking_History_Score,Chargeback_Count_12M,Past_SAR_Flag,Account_Age_Days,KYC_Risk_Score,Amount_Squared,Volume_Squared,Trend_Squared,Amount_x_Volume,CountryRisk_x_Trend,History_Inverse,Risk_Target,Risk_Label,Country_Risk_Flag,Composite_Risk_Score,Country_Risk_Score_Squared,Transaction_Amount_Cubed,History_Inverse_Squared,Amount_x_CountryRisk,Amount_x_Trend,Volume_x_CountryRisk
AML_Customer_00015,UK,0.18,10582.86,19,0.073,67.16,2,0,3216,99.85,111.9969,361,0.005329,201074.34,0.01314,32.84,0,Low_Risk,0,0.44397,0.0324,1185.2478,1078.4656,1904.91,772.549,3.42
AML_Customer_00016,UK,0.18,16579.78,24,-0.007,60.0,1,0,2885,58.83,274.8891,576,4.9e-05,397914.72,-0.00126,40.0,0,Low_Risk,0,0.48108249999999997,0.0324,4557.6009,1600.0,2984.36,-116.058,4.32
AML_Customer_00017,DE,0.17,2074.46,22,-0.07,70.84,2,0,2835,20.45,4.3034,484,0.0049,45638.12,-0.0119,29.16,0,Low_Risk,0,0.22638750000000002,0.0289,8.9272,850.3056,352.66,-145.212,3.74
AML_Customer_00018,AE,0.28,5831.02,15,0.076,70.6,1,1,3500,50.37,34.0008,225,0.005776,87465.3,0.02128,29.4,0,Low_Risk,0,0.39009499999999997,0.0784,198.2593,864.36,1632.69,443.158,4.2
AML_Customer_00019,SG,0.2,21900.5,18,-0.317,70.84,2,0,1085,71.11,479.6319,324,0.100489,394209.0,-0.0634,29.16,0,Low_Risk,0,0.47552500000000003,0.04,10504.1784,850.3056,4380.1,-6942.458,3.6
AML_Customer_00020,CA,0.16,2823.44,19,0.44,67.3,1,0,2609,77.44,7.9718,361,0.1936,53645.36,0.0704,32.7,0,Low_Risk,0,0.2813625,0.0256,22.5079,1069.29,451.75,1242.314,3.04
AML_Customer_00021,IN,0.35,13273.94,22,-0.548,82.38,1,1,82,0.05,176.1975,484,0.300304,292026.68,-0.1918,17.62,0,Low_Risk,0,0.49016249999999995,0.1225,2338.8348,310.4644,4645.88,-7274.119,7.7
AML_Customer_00022,UK,0.18,2548.9,25,0.269,65.46,1,0,2795,50.5,6.4969,625,0.072361,63722.5,0.04842,34.54,0,Low_Risk,0,0.34678749999999997,0.0324,16.5599,1193.0116,458.8,685.654,4.5
AML_Customer_00023,CA,0.16,15778.92,32,-0.034,45.44,2,1,1784,23.52,248.9743,1024,0.001156,504925.44,-0.00544,54.56,0,Low_Risk,0,0.5614925000000001,0.0256,3928.5458,2976.7936,2524.63,-536.483,5.12
AML_Customer_00024,DE,0.17,9550.59,22,-0.33,52.75,1,0,3296,87.49,91.2138,484,0.1089,210112.98,-0.0561,47.25,0,Low_Risk,0,0.4002374999999999,0.0289,871.1453,2232.5625,1623.6,-3151.695,3.74
AML_Customer_00025,AE,0.28,1968.19,25,0.151,25.42,2,0,1358,15.29,3.8738,625,0.022801,49204.75,0.04228,74.58,0,Low_Risk,0,0.36222000000000004,0.0784,7.6243,5562.1764,551.09,297.197,7.0
AML_Customer_00026,NG,0.65,31721.16,26,-0.465,100.0,1,1,2422,66.65,1006.232,676,0.216225,824750.16,-0.30225,0.0,1,High_Risk,1,0.8493025000000001,0.4225,31918.846,0.0,20618.75,-14750.339,16.9
AML_Customer_00027,UK,0.18,4747.67,29,0.094,82.26,2,0,3183,26.61,22.5404,841,0.008836,137682.43,0.01692,17.74,0,Low_Risk,0,0.39555999999999997,0.0324,107.0142,314.7076,854.58,446.281,5.22
AML_Customer_00028,AE,0.28,4401.71,19,-0.418,48.4,1,1,30,35.65,19.3751,361,0.174724,83632.49,-0.11704,51.6,0,Low_Risk,0,0.3604025,0.0784,85.2834,2662.56,1232.48,-1839.915,5.32
AML_Customer_00029,IN,0.35,12095.26,19,0.241,59.36,2,0,196,94.06,146.2953,361,0.058081,229809.94,0.08435,40.64,0,Low_Risk,0,0.5297425,0.1225,1769.4799,1651.6096,4233.34,2914.958,6.65
AML_Customer_00030,US,0.15,31214.48,23,-0.244,52.26,0,0,2394,24.04,974.3438,529,0.059536,717933.04,-0.0366,47.74,0,Low_Risk,0,0.42271000000000003,0.0225,30413.6339,2279.1076,4682.17,-7616.333,3.45
AML_Customer_00031,IN,0.35,3583.8,19,-0.078,95.85,4,0,3284,9.5,12.8436,361,0.006084,68092.2,-0.0273,4.15,0,Low_Risk,0,0.29109,0.1225,46.029,17.2225,1254.33,-279.536,6.65
AML_Customer_00032,UK,0.18,10526.8,27,0.183,36.6,3,0,994,6.93,110.8135,729,0.033489,284223.6,0.03294,63.4,0,Low_Risk,0,0.499095,0.0324,1166.5117,4019.56,1894.82,1926.404,4.86
AML_Customer_00033,US,0.15,15196.44,22,-0.19,67.29,2,0,2975,50.46,230.9318,484,0.0361,334321.68,-0.0285,32.71,0,Low_Risk,0,0.3961675,0.0225,3509.3411,1069.9441,2279.47,-2887.324,3.3
AML_Customer_00034,IR,0.75,19793.44,32,0.06,62.83,0,1,1915,64.17,391.7803,1024,0.0036,633390.08,0.045,37.17,1,High_Risk,1,0.8888949999999999,0.5625,7754.6792,1381.6089,14845.08,1187.606,24.0
AML_Customer_00035,PK,0.55,11806.93,27,-0.45,81.54,0,1,302,32.73,139.4036,729,0.2025,318787.11,-0.2475,18.46,1,High_Risk,1,0.70763,0.3025,1645.9285,340.7716,6493.81,-5313.119,14.85
AML_Customer_00036,NG,0.65,6856.64,21,0.301,62.92,1,0,1722,69.03,47.0135,441,0.090601,143989.44,0.19565,37.08,0,Low_Risk,1,0.581085,0.4225,322.3547,1374.9264,4456.82,2063.849,13.65
AML_Customer_00037,DE,0.17,4326.05,25,0.698,29.84,1,0,2450,6.1,18.7147,625,0.487204,108151.25,0.11866,70.16,0,Low_Risk,0,0.3713425,0.0289,80.9608,4922.4256,735.43,3019.583,4.25
AML_Customer_00038,US,0.15,10787.51,24,1.057,59.98,3,0,3463,85.73,116.3704,576,1.117249,258900.24,0.15855,40.02,0,Low_Risk,0,0.5113099999999999,0.0225,1255.3466,1601.6004,1618.13,11402.398,3.6
AML_Customer_00039,BR,0.4,3387.55,23,0.112,45.56,1,1,929,81.66,11.4755,529,0.012544,77913.65,0.0448,54.44,0,Low_Risk,0,0.505925,0.16,38.8738,2963.7136,1355.02,379.406,9.2
AML_Customer_00040,SG,0.2,533.07,22,0.356,66.59,4,1,2278,98.55,0.2842,484,0.126736,11727.54,0.0712,33.41,0,Low_Risk,0,0.45601500000000006,0.04,0.1515,1116.2281,106.61,189.773,4.4
AML_Customer_00041,UK,0.18,15314.57,27,-0.543,93.68,5,0,3293,93.65,234.5361,729,0.294849,413493.39,-0.09774,6.32,0,Low_Risk,0,0.5513675,0.0324,3591.8188,39.9424,2756.62,-8315.812,4.86
AML_Customer_00042,AE,0.28,24438.98,22,0.606,30.21,1,0,3442,35.62,597.2637,484,0.367236,537657.56,0.16968,69.79,0,Low_Risk,0,0.5853125,0.0784,14596.5167,4870.6441,6842.91,14810.022,6.16
AML_Customer_00043,US,0.15,931.75,18,0.352,49.0,1,1,3400,39.93,0.8682,324,0.123904,16771.5,0.0528,51.0,0,Low_Risk,0,0.26741000000000004,0.0225,0.8089,2601.0,139.76,327.976,2.7
AML_Customer_00044,IR,0.75,3605.69,31,-0.089,53.95,3,1,3607,74.6,13.001,961,0.007921,111776.39,-0.06675,46.05,1,High_Risk,1,0.6943750000000001,0.5625,46.8776,2120.6025,2704.27,-320.906,23.25
AML_Customer_00045,CA,0.16,18382.5,29,0.513,57.37,2,0,2217,13.41,337.9163,841,0.263169,533092.5,0.08208,42.63,0,Low_Risk,0,0.5531550000000001,0.0256,6211.7465,1817.3169,2941.2,9430.222,4.64
AML_Customer_00046,IN,0.35,77458.34,34,-0.009,79.8,3,0,2383,31.4,5999.7944,1156,8.1e-05,2633583.56,-0.00315,20.2,1,High_Risk,0,0.6757049999999999,0.1225,464734.1173,408.04,27110.42,-697.125,11.9
AML_Customer_00047,DE,0.17,10105.08,21,-0.08,61.53,1,1,1249,11.85,102.1126,441,0.0064,212206.68,-0.0136,38.47,0,Low_Risk,0,0.39725,0.0289,1031.8564,1479.9409,1717.86,-808.406,3.57
AML_Customer_00048,AE,0.28,4779.05,23,0.246,73.32,3,1,3162,45.49,22.8393,529,0.060516,109918.15,0.06888,26.68,0,Low_Risk,0,0.49015000000000003,0.0784,109.1502,711.8224,1338.13,1175.646,6.44
AML_Customer_00049,IN,0.35,8242.87,19,-0.292,52.48,2,1,389,55.2,67.9449,361,0.085264,156614.53,-0.1022,47.52,0,Low_Risk,0,0.48277499999999995,0.1225,560.061,2258.1504,2885.0,-2406.918,6.65
AML_Customer_00050,UK,0.18,39139.07,20,0.438,69.6,1,0,2384,21.12,1531.8668,400,0.191844,782781.4,0.07884,30.4,0,Low_Risk,0,0.5201525,0.0324,59955.8419,924.16,7045.03,17142.913,3.6
AML_Customer_00051,PK,0.55,5187.65,17,-0.29,80.56,1,1,2069,2.66,26.9117,289,0.0841,88190.05,-0.1595,19.44,0,Low_Risk,1,0.455805,0.3025,139.6085,377.9136,2853.21,-1504.418,9.35
AML_Customer_00052,NG,0.65,4450.66,33,-0.288,50.35,0,1,3581,71.94,19.8084,1089,0.082944,146871.78,-0.1872,49.65,1,High_Risk,1,0.6411375,0.4225,88.1603,2465.1225,2892.93,-1281.79,21.45
AML_Customer_00053,IR,0.75,6107.4,21,-0.238,80.63,2,0,2410,2.0,37.3003,441,0.056644,128255.4,-0.1785,19.37,0,Low_Risk,1,0.4971625,0.5625,227.8081,375.1969,4580.55,-1453.561,15.75
AML_Customer_00054,RU,0.7,3814.91,25,0.346,66.05,2,0,3184,97.34,14.5535,625,0.119716,95372.75,0.2422,33.95,1,High_Risk,1,0.6355799999999999,0.49,55.5204,1152.6025,2670.44,1319.959,17.5
AML_Customer_00055,IN,0.35,11188.82,16,-0.136,85.91,1,0,363,22.16,125.1897,256,0.018496,179021.12,-0.0476,14.09,0,Low_Risk,0,0.35978499999999997,0.1225,1400.7249,198.5281,3916.09,-1521.68,5.6
AML_Customer_00056,IR,0.75,50245.61,20,-0.392,60.97,2,1,2594,66.39,2524.6213,400,0.153664,1004912.2,-0.294,39.03,1,High_Risk,1,0.85795,0.5625,126851.1385,1523.3409,37684.21,-19696.279,15.0
AML_Customer_00057,US,0.15,13671.65,33,-0.132,72.62,4,0,760,43.48,186.914,1089,0.017424,451164.45,-0.0198,27.38,0,Low_Risk,0,0.47654500000000005,0.0225,2555.423,749.6644,2050.75,-1804.658,4.95
AML_Customer_00058,UK,0.18,7689.77,29,0.069,64.19,3,0,3001,5.97,59.1326,841,0.004761,223003.33,0.01242,35.81,0,Low_Risk,0,0.4483975,0.0324,454.7158,1282.3561,1384.16,530.594,5.22
AML_Customer_00059,US,0.15,7392.26,26,-0.333,63.08,0,0,2843,47.22,54.6455,676,0.110889,192198.76,-0.04995,36.92,0,Low_Risk,0,0.32350249999999997,0.0225,403.9538,1363.0864,1108.84,-2461.623,3.9
AML_Customer_00060,DE,0.17,2073.12,25,-0.323,70.18,1,0,1527,51.68,4.2978,625,0.104329,51828.0,-0.05491,29.82,0,Low_Risk,0,0.27130000000000004,0.0289,8.9099,889.2324,352.43,-669.618,4.25
AML_Customer_00061,SG,0.2,23935.3,29,0.819,75.74,3,0,1447,85.47,572.8986,841,0.670761,694123.7,0.1638,24.26,1,High_Risk,0,0.69577,0.04,13712.4995,588.5476,4787.06,19603.011,5.8
AML_Customer_00062,CA,0.16,9155.98,23,-0.221,40.01,1,0,1773,73.23,83.832,529,0.048841,210587.54,-0.03536,59.99,0,Low_Risk,0,0.38666500000000004,0.0256,767.5638,3598.8001,1464.96,-2023.472,3.68
AML_Customer_00063,NG,0.65,8262.81,21,-0.033,93.67,3,0,2862,7.93,68.274,441,0.001089,173519.01,-0.02145,6.33,0,Low_Risk,1,0.5215624999999999,0.4225,564.1353,40.0689,5370.83,-272.673,13.65
AML_Customer_00064,DE,0.17,241133.88,28,-0.049,27.81,1,1,1630,20.92,58145.5481,784,0.002401,6751748.64,-0.00833,72.19,1,High_Risk,0,0.6400075000000001,0.0289,14020861.6142,5211.3961,40992.76,-11815.56,4.76
AML_Customer_00065,CA,0.16,13343.08,18,-0.067,51.3,1,1,1433,31.19,178.0378,324,0.004489,240175.44,-0.01072,48.7,0,Low_Risk,0,0.4028775,0.0256,2375.5724,2371.69,2134.89,-893.986,2.88
AML_Customer_00066,IN,0.35,4666.71,23,0.297,63.11,2,1,50,11.64,21.7782,529,0.088209,107334.33,0.10395,36.89,0,Low_Risk,0,0.48111,0.1225,101.6325,1360.8721,1633.35,1386.013,8.05
AML_Customer_00067,UK,0.18,6461.67,22,0.412,73.25,2,0,2003,45.69,41.7532,484,0.169744,142156.74,0.07416,26.75,0,Low_Risk,0,0.40687,0.0324,269.7953,715.5625,1163.1,2662.208,3.96
AML_Customer_00068,NG,0.65,31208.5,28,-0.027,96.52,1,1,908,98.43,973.9705,784,0.000729,873838.0,-0.01755,3.48,1,High_Risk,1,0.8893975,0.4225,30396.1575,12.1104,20285.53,-842.63,18.2
AML_Customer_00069,US,0.15,11084.14,16,-0.353,27.83,0,1,206,51.46,122.8582,256,0.124609,177346.24,-0.05295,72.17,0,Low_Risk,0,0.352,0.0225,1361.777,5208.5089,1662.62,-3912.701,2.4
AML_Customer_00070,PK,0.55,2348.95,25,0.526,54.85,0,1,1416,74.19,5.5176,625,0.276676,58723.75,0.2893,45.15,1,High_Risk,1,0.6119675000000001,0.3025,12.9605,2038.5225,1291.92,1235.548,13.75
AML_Customer_00071,NG,0.65,24815.63,21,0.047,22.46,3,1,2099,68.29,615.8155,441,0.002209,521128.23,0.03055,77.54,1,High_Risk,1,0.8608699999999998,0.4225,15281.8494,6012.4516,16130.16,1166.335,13.65
AML_Customer_00072,UK,0.18,5073.85,26,0.686,65.63,0,0,2914,84.99,25.744,676,0.470596,131920.1,0.12348,34.37,0,Low_Risk,0,0.4408525,0.0324,130.621,1181.2969,913.29,3480.661,4.68
AML_Customer_00073,US,0.15,64427.62,22,-0.706,70.43,1,1,3037,21.57,4150.9182,484,0.498436,1417407.64,-0.1059,29.57,0,Low_Risk,0,0.5148275000000001,0.0225,267433.7817,874.3849,9664.14,-45485.9,3.3
AML_Customer_00074,NG,0.65,29145.27,26,0.148,96.82,1,1,2625,75.38,849.4468,676,0.021904,757777.02,0.0962,3.18,1,High_Risk,1,0.8888375000000002,0.4225,24757.3553,10.1124,18944.43,4313.5,16.9
AML_Customer_00075,BR,0.4,6327.61,20,0.752,67.41,3,0,2327,88.14,40.0386,400,0.565504,126552.2,0.3008,32.59,0,Low_Risk,0,0.5240225000000001,0.16,253.349,1062.1081,2531.04,4758.363,8.0
AML_Customer_00076,BR,0.4,35632.6,33,-0.044,85.88,1,1,690,17.15,1269.6822,1089,0.001936,1175875.8,-0.0176,14.12,1,High_Risk,0,0.6959375,0.16,45242.0773,199.3744,14253.04,-1567.834,13.2
AML_Customer_00077,NG,0.65,10592.01,27,0.001,76.68,2,0,3029,34.68,112.1907,729,1e-06,285984.27,0.00065,23.32,1,High_Risk,1,0.7031775,0.4225,1188.3248,543.8224,6884.81,10.592,17.55
AML_Customer_00078,US,0.15,23220.1,17,0.183,56.3,1,0,3174,97.01,539.173,289,0.033489,394741.7,0.02745,43.7,0,Low_Risk,0,0.453055,0.0225,12519.652,1909.69,3483.02,4249.278,2.55
AML_Customer_00079,DE,0.17,16070.38,21,-0.116,36.82,1,0,3192,78.08,258.2571,441,0.013456,337477.98,-0.01972,63.18,0,Low_Risk,0,0.44462750000000006,0.0289,4150.2899,3991.7124,2731.96,-1864.164,3.57
AML_Customer_00080,US,0.15,4245.62,21,-0.029,70.5,2,0,1229,28.26,18.0253,441,0.000841,89158.02,-0.00435,29.5,0,Low_Risk,0,0.2264075,0.0225,76.5285,870.25,636.84,-123.123,3.15
AML_Customer_00081,RU,0.7,5200.19,22,-0.038,35.16,3,1,155,56.39,27.042,484,0.001444,114404.18,-0.0266,64.84,1,High_Risk,1,0.6302274999999999,0.49,140.6234,4204.2256,3640.13,-197.607,15.4
AML_Customer_00082,IN,0.35,27721.42,23,-0.14,90.9,2,1,3305,40.43,768.4771,529,0.0196,637592.66,-0.049,9.1,1,High_Risk,0,0.62469,0.1225,21303.2772,82.81,9702.5,-3880.999,8.05
AML_Customer_00083,DE,0.17,7081.38,19,0.51,61.76,0,0,1299,49.0,50.1459,361,0.2601,134546.22,0.0867,38.24,0,Low_Risk,0,0.34071250000000003,0.0289,355.1025,1462.2976,1203.83,3611.504,3.23
AML_Customer_00084,US,0.15,6610.08,25,0.241,88.9,1,0,640,35.52,43.6932,625,0.058081,165252.0,0.03615,11.1,0,Low_Risk,0,0.34518750000000004,0.0225,288.8153,123.21,991.51,1593.029,3.75
AML_Customer_00085,DE,0.17,3808.07,22,0.168,55.4,1,1,1324,27.93,14.5014,484,0.028224,83777.54,0.02856,44.6,0,Low_Risk,0,0.36390500000000003,0.0289,55.2223,1989.16,647.37,639.756,3.74
AML_Customer_00086,DE,0.17,15117.36,27,0.363,70.38,1,0,1039,67.48,228.5346,729,0.131769,408168.72,0.06171,29.62,0,Low_Risk,0,0.53742,0.0289,3454.8394,877.3444,2569.95,5487.602,4.59
AML_Customer_00087,BR,0.4,77848.89,28,-0.013,69.19,2,1,2121,77.85,6060.4497,784,0.000169,2179768.92,-0.0052,30.81,1,High_Risk,0,0.7802324999999999,0.16,471799.28,949.2561,31139.56,-1012.036,11.2
AML_Customer_00088,IN,0.35,3403.19,22,-0.191,64.1,1,0,1787,87.4,11.5817,484,0.036481,74870.18,-0.06685,35.9,0,Low_Risk,0,0.35990749999999994,0.1225,39.4147,1288.81,1191.12,-650.009,7.7
AML_Customer_00089,RU,0.7,10139.76,19,-0.131,56.35,0,1,1994,15.53,102.8147,361,0.017161,192655.44,-0.0917,43.65,1,High_Risk,1,0.6274825,0.49,1042.5167,1905.3225,7097.83,-1328.309,13.3
AML_Customer_00090,AE,0.28,40628.32,23,0.081,72.85,1,1,577,82.29,1650.6604,529,0.006561,934451.36,0.02268,27.15,1,High_Risk,0,0.6753950000000001,0.0784,67063.5584,737.1225,11375.93,3290.894,6.44
AML_Customer_00091,US,0.15,9139.48,22,-0.291,46.48,3,0,1221,25.48,83.5301,484,0.084681,201068.56,-0.04365,53.52,0,Low_Risk,0,0.34393749999999995,0.0225,763.4216,2864.3904,1370.92,-2659.589,3.3
AML_Customer_00092,BR,0.4,15558.65,21,-0.095,40.81,3,0,2512,42.73,242.0716,441,0.009025,326731.65,-0.038,59.19,0,Low_Risk,0,0.5374450000000001,0.16,3766.3071,3503.4561,6223.46,-1478.072,8.4
AML_Customer_00093,BR,0.4,3420.72,18,-0.101,89.86,0,0,1083,90.14,11.7013,324,0.010201,61572.96,-0.0404,10.14,0,Low_Risk,0,0.31072000000000005,0.16,40.027,102.8196,1368.29,-345.493,7.2
AML_Customer_00094,IN,0.35,15188.7,19,0.824,79.54,2,1,2871,45.45,230.6966,361,0.678976,288585.3,0.2884,20.46,1,High_Risk,0,0.6050375,0.1225,3503.9816,418.6116,5316.04,12515.489,6.65
AML_Customer_00095,NG,0.65,8207.93,27,-0.891,66.32,0,1,1650,19.71,67.3701,729,0.793881,221614.11,-0.57915,33.68,1,High_Risk,1,0.6277625,0.4225,552.9692,1134.3424,5335.15,-7313.266,17.55
AML_Customer_00096,AE,0.28,26522.0,16,0.017,98.3,3,0,2434,15.99,703.4165,256,0.000289,424352.0,0.00476,1.7,0,Low_Risk,0,0.47381,0.0784,18656.012,2.89,7426.16,450.874,4.48
AML_Customer_00097,AE,0.28,32447.74,22,0.684,59.64,2,1,3592,47.3,1052.8558,484,0.467856,713850.28,0.19152,40.36,1,High_Risk,0,0.6948875000000001,0.0784,34162.7923,1628.9296,9085.37,22194.254,6.16
AML_Customer_00098,SG,0.2,131868.92,23,0.123,91.45,0,0,1852,76.27,17389.4121,529,0.015129,3032985.16,0.0246,8.55,0,Low_Risk,0,0.585825,0.04,2293122.988,73.1025,26373.78,16219.877,4.6
AML_Customer_00099,US,0.15,17670.17,21,0.344,68.51,1,0,1301,99.72,312.2349,441,0.118336,371073.57,0.0516,31.49,0,Low_Risk,0,0.47819500000000004,0.0225,5517.2439,991.6201,2650.53,6078.538,3.15
AML_Customer_00100,US,0.15,13708.84,26,0.115,44.5,1,0,1749,78.74,187.9323,676,0.013225,356429.84,0.01725,55.5,0,Low_Risk,0,0.4820775,0.0225,2576.3338,3080.25,2056.33,1576.517,3.9
AML_Customer_00101,US,0.15,12020.69,19,-0.154,100.0,1,1,282,87.7,144.497,361,0.023716,228393.11,-0.0231,0.0,0,Low_Risk,0,0.4023325,0.0225,1736.9535,0.0,1803.1,-1851.186,2.85
AML_Customer_00102,IN,0.35,6952.34,18,-0.705,84.81,0,0,2862,74.78,48.335,324,0.497025,125142.12,-0.24675,15.19,0,Low_Risk,0,0.3412225,0.1225,336.0416,230.7361,2433.32,-4901.4,6.3
AML_Customer_00103,DE,0.17,13883.88,21,0.152,62.58,2,0,2798,89.54,192.7621,441,0.023104,291561.48,0.02584,37.42,0,Low_Risk,0,0.48117000000000004,0.0289,2676.2862,1400.2564,2360.26,2110.35,3.57
AML_Customer_00104,AE,0.28,7365.77,21,-0.191,79.54,2,0,3483,7.63,54.2546,441,0.036481,154681.17,-0.05348,20.46,0,Low_Risk,0,0.34400000000000003,0.0784,399.6267,418.6116,2062.42,-1406.862,5.88
AML_Customer_00105,IR,0.75,11713.07,25,-0.2,56.93,1,0,1589,92.99,137.196,625,0.04,292826.75,-0.15,43.07,1,High_Risk,1,0.7373875000000001,0.5625,1606.9865,1855.0249,8784.8,-2342.614,18.75
AML_Customer_00106,CA,0.16,36960.22,27,-0.095,81.58,2,0,766,39.64,1366.0579,729,0.009025,997925.94,-0.0152,18.42,0,Low_Risk,0,0.5310975,0.0256,50489.7991,339.2964,5913.64,-3511.221,4.32
AML_Customer_00107,SG,0.2,3617.21,29,0.691,17.18,2,0,2076,92.16,13.0842,841,0.477481,104899.09,0.1382,82.82,0,Low_Risk,0,0.510315,0.04,47.3283,6859.1524,723.44,2499.492,5.8
AML_Customer_00108,BR,0.4,30942.27,26,0.922,44.6,2,0,929,7.57,957.4241,676,0.850084,804499.02,0.3688,55.4,1,High_Risk,0,0.6969500000000001,0.16,29624.8742,3069.16,12376.91,28528.773,10.4
AML_Customer_00109,CA,0.16,36942.39,19,0.156,84.59,0,1,1958,71.52,1364.7402,361,0.024336,701905.41,0.02496,15.41,0,Low_Risk,0,0.5324825,0.0256,50416.7639,237.4681,5910.78,5763.013,3.04
AML_Customer_00110,US,0.15,8794.94,21,-0.083,60.01,3,0,3520,73.57,77.351,441,0.006889,184693.74,-0.01245,39.99,0,Low_Risk,0,0.35823499999999997,0.0225,680.2971,1599.2001,1319.24,-729.98,3.15
AML_Customer_00111,CA,0.16,1185.77,19,-0.332,69.15,2,1,2200,99.69,1.4061,361,0.110224,22529.63,-0.05312,30.85,0,Low_Risk,0,0.29996,0.0256,1.6673,951.7225,189.72,-393.676,3.04
AML_Customer_00112,UK,0.18,5389.34,14,0.244,38.06,0,0,1347,76.89,29.045,196,0.059536,75450.76,0.04392,61.94,0,Low_Risk,0,0.31525000000000003,0.0324,156.5333,3836.5636,970.08,1314.999,2.52
AML_Customer_00113,IR,0.75,36206.52,24,0.704,100.0,5,1,2762,38.26,1310.9121,576,0.495616,868956.48,0.528,0.0,1,High_Risk,1,0.9530175000000001,0.5625,47463.5648,0.0,27154.89,25489.39,18.0
AML_Customer_00114,NG,0.65,9673.37,22,-0.007,88.81,3,1,2220,55.72,93.5741,484,4.9e-05,212814.14,-0.00455,11.19,1,High_Risk,1,0.6625374999999999,0.4225,905.1768,125.2161,6287.69,-67.714,14.3
